Angs,Dists,X,Y,A,B1,B2i,B2ii,B3i,B3ii,B4i,B4ii,Training_TRUE
0,3.55,3.55,0,0,3.55,1.775,1.18333333333333,4.46739130434783,3.86363636363636,-2.65464463939101,-4.89694642857143,3.14159265358979
0,3.6,3.6,0,0,3.6,1.8,1.2,4.47826086956522,3.88888888888889,-2.53437242056263,-4.90357894736842,3.14159265358979
0,3.65,3.65,0,0,3.65,1.825,1.21666666666667,4.48913043478261,3.91414141414141,-2.40793371321135,-4.90994078947368,3.14159265358979
0,3.7,3.7,0,0,3.7,1.85,1.23333333333333,4.5,3.93939393939394,-2.2750123547098,-4.91603759398496,3.14159265358979
0,3.75,3.75,0,0,3.75,1.875,1.25,4.51086956521739,3.96464646464646,-2.13527597242608,-4.921875,3.14159265358979
0,3.8,3.8,0,0,3.8,1.9,1.26666666666667,4.52173913043478,3.98989898989899,-1.98837515261906,-4.92745864661654,3.14159265358979
0,3.85,3.85,0,0,3.85,1.925,1.28333333333333,4.53260869565217,4.01515151515152,-1.833942566722,-4.93279417293233,3.14159265358979
0,3.9,3.9,0,0,3.9,1.95,1.3,4.54347826086956,4.04040404040404,-1.67159205282981,-4.93788721804511,3.14159265358979
0,3.95,3.95,0,0,3.95,1.975,1.31666666666667,4.55434782608696,4.06565656565657,-1.50091765009315,-4.94274342105263,3.14159265358979
0,4,4,0,0,4,2,1.33333333333333,4.56521739130435,4.09090909090909,-1.32149258360487,-4.94736842105263,3.14159265358979
0.0350840430979106,0.05,0.0499692309043064,0.00175384230537118,0.00175384230537112,0.0499692309043063,0.0241076942994676,0.0154871820978547,3.70727692164179,2.09523512215527,-4.92961889417718,-3.4236981734915,-3.10650861049188
0.0350840430979106,0.1,0.0999384618086128,0.00350768461074236,0.00350768461074225,0.0999384618086125,0.0482153885989351,0.0309743641957094,3.71890033199538,2.11976255219685,-4.92598939086347,-3.46326746992214,-3.10650861049188
0.0350840430979106,0.15,0.149907692712919,0.00526152691611354,0.00526152691611337,0.149907692712919,0.0723230828984027,0.046461546293564,3.73052240497384,2.14428936083178,-4.92217391633607,-3.502172164602,-3.10650861049188
0.0350840430979106,0.2,0.199876923617226,0.00701536922148472,0.00701536922148449,0.199876923617226,0.0964307771978703,0.0619487283914187,3.74214314057715,2.16881554806009,-4.91816294166242,-3.54041788622464,-3.10650861049188
0.0350840430979106,0.25,0.249846154521532,0.0087692115268559,0.00876921152685561,0.249846154521532,0.120538471497338,0.0774359104892734,3.75376253880531,2.19334111388176,-4.91394644965935,-3.57801026348361,-3.10650861049188
